"realcasestudy","datagenerator","dbms","averageCoverage","averageEvaluations","averageTestGenTime","averageMutationScore"
"ArtistSimilarity","avsDefaults","HyperSQL",100,62,598.4,90.9090909090909
"ArtistSimilarity","random","HyperSQL",59.4444444444444,396532.2,21099.2333333333,74.5454545454545
"ArtistSimilarity","directedRandom","HyperSQL",100,53.4333333333333,492.4,90.9090909090909
"ArtistTerm","avsDefaults","HyperSQL",100,132,718.833333333333,86.9565217391304
"ArtistTerm","random","HyperSQL",59.8333333333333,867116.6,42085.5,69.8550724637681
"ArtistTerm","directedRandom","HyperSQL",100,105.1,555.333333333333,86.9565217391304
"BankAccount","avsDefaults","HyperSQL",100,217,756.1,82.1428571428571
"BankAccount","random","HyperSQL",85.1612903225806,604752.9,29222.7333333333,69.1666666666667
"BankAccount","directedRandom","HyperSQL",100,94.2333333333333,533.666666666667,89.0476190476191
"BookTown","avsDefaults","HyperSQL",99.2537313432836,201165,5491.03333333333,91.9642857142857
"BookTown","random","HyperSQL",92.3134328358209,2235485.43333333,72327.5,84.4642857142857
"BookTown","directedRandom","HyperSQL",99.2537313432836,200512.2,2345.7,93.6904761904762
"BrowserCookies","avsDefaults","HyperSQL",100,17233.1666666667,3366.1,89.2857142857143
"BrowserCookies","random","HyperSQL",58.3333333333333,810124.1,63561.5333333333,51.7857142857143
"BrowserCookies","directedRandom","HyperSQL",100,245.233333333333,657.566666666667,93.015873015873
"Cloc","avsDefaults","HyperSQL",100,178,599.4,100
"Cloc","random","HyperSQL",92.3333333333333,338790.3,12329.8,89.7777777777778
"Cloc","directedRandom","HyperSQL",100,61.7,514.433333333333,100
"CoffeeOrders","avsDefaults","HyperSQL",100,534,1078.6,91.0714285714286
"CoffeeOrders","random","HyperSQL",57.6623376623377,749978.733333333,42064.8666666667,41.9642857142857
"CoffeeOrders","directedRandom","HyperSQL",100,186.7,653.566666666667,91.0714285714286
"CustomerOrder","avsDefaults","HyperSQL",100,1153,1870.23333333333,86.8131868131868
"CustomerOrder","random","HyperSQL",41.5555555555556,2009240.1,162038.1,34.029304029304
"CustomerOrder","directedRandom","HyperSQL",100,836.766666666667,863.633333333333,90.03663003663
"DellStore","avsDefaults","HyperSQL",100,1669,1562.4,100
"DellStore","random","HyperSQL",93.4651600753296,1390135.73333333,139027.2,87.1153846153846
"DellStore","directedRandom","HyperSQL",100,322.433333333333,829.633333333333,100
"Employee","avsDefaults","HyperSQL",100,392,898.733333333333,93.1818181818182
"Employee","random","HyperSQL",89.3333333333333,406523.433333333,31003.9333333333,86.969696969697
"Employee","directedRandom","HyperSQL",100,226.6,552.8,95.4545454545455
"Examination","avsDefaults","HyperSQL",100,1239,1569.13333333333,95.5357142857143
"Examination","random","HyperSQL",82.8802588996764,916138.4,106679.466666667,87.4404761904762
"Examination","directedRandom","HyperSQL",100,306.433333333333,784.3,98.2142857142857
"Flights","avsDefaults","HyperSQL",100,18515.2333333333,3989.13333333333,87.5
"Flights","random","HyperSQL",58.7878787878788,1823186.56666667,153097.466666667,40.7638888888889
"Flights","directedRandom","HyperSQL",100,826.2,690.033333333333,91.4583333333333
"FrenchTowns","avsDefaults","HyperSQL",100,1357.43333333333,1699.46666666667,88.7755102040816
"FrenchTowns","random","HyperSQL",34.6540880503145,1078626.23333333,90967.1666666667,23.0272108843537
"FrenchTowns","directedRandom","HyperSQL",100,784.233333333333,682.966666666667,96.3605442176871
"Inventory","avsDefaults","HyperSQL",100,100,601.666666666667,83.3333333333333
"Inventory","random","HyperSQL",95.8333333333333,75665.2,4195.73333333333,79.6296296296296
"Inventory","directedRandom","HyperSQL",100,26.7333333333333,481.633333333333,94.4444444444444
"Iso3166","avsDefaults","HyperSQL",100,52,546.4,70
"Iso3166","random","HyperSQL",85.1851851851852,140268.2,6196.36666666667,69.6666666666667
"Iso3166","directedRandom","HyperSQL",100,15.8333333333333,472.4,89.6666666666667
"IsoFlav_R2","avsDefaults","HyperSQL",100,1226.8,1265.56666666667,87.037037037037
"IsoFlav_R2","random","HyperSQL",87.5706214689266,2315475.16666667,134855.633333333,56.2808641975309
"IsoFlav_R2","directedRandom","HyperSQL",100,282,754.833333333333,99.7376543209877
"iTrust","avsDefaults","HyperSQL",100,61595.9333333333,15985.8333333333,92.8216062544421
"iTrust","random","HyperSQL",91.5477823502515,15216429.5666667,4278533.86666667,87.1428571428571
