"realcasestudy","datagenerator","dbms","averageCoverage","averageEvaluations","averageTestGenTime","averageMutationScore"
"ArtistSimilarity","avsDefaults","Postgres",100,62,1079.66666666667,83.3333333333333
"ArtistSimilarity","random","Postgres",59.4444444444444,396532.2,21437.6333333333,68.3333333333333
"ArtistSimilarity","directedRandom","Postgres",100,53.4333333333333,1019.86666666667,83.3333333333333
"ArtistTerm","avsDefaults","Postgres",100,132,2679.6,76.9230769230769
"ArtistTerm","random","Postgres",59.8333333333333,867116.6,43107.8,61.7948717948718
"ArtistTerm","directedRandom","Postgres",100,105.1,2603.36666666667,76.9230769230769
"BankAccount","avsDefaults","Postgres",100,217,1588.53333333333,76.6666666666667
"BankAccount","random","Postgres",85.1612903225806,604752.9,29858.4666666667,64.5555555555556
"BankAccount","directedRandom","Postgres",100,94.2333333333333,1327.03333333333,83.1111111111111
"BookTown","avsDefaults","Postgres",99.2537313432836,201165,11587.7666666667,87.6595744680851
"BookTown","random","Postgres",92.3134328358209,2235485.43333333,78040.3666666667,80.5106382978723
"BookTown","directedRandom","Postgres",99.2537313432836,200512.2,8780.03333333333,89.3049645390071
"BrowserCookies","avsDefaults","Postgres",100,17233.1666666667,5849.76666666667,88.2352941176471
"BrowserCookies","random","Postgres",58.3333333333333,810124.1,64842.5333333333,51.1764705882353
"BrowserCookies","directedRandom","Postgres",100,245.233333333333,3215.2,91.921568627451
"Cloc","avsDefaults","Postgres",100,178,1192.6,100
"Cloc","random","Postgres",92.3333333333333,338790.3,12911.4666666667,89.7777777777778
"Cloc","directedRandom","Postgres",100,61.7,1149.23333333333,100
"CoffeeOrders","avsDefaults","Postgres",100,534,4743.86666666667,83.6065573770492
"CoffeeOrders","random","Postgres",57.6623376623377,749978.733333333,43608.9333333333,38.5245901639344
"CoffeeOrders","directedRandom","Postgres",100,186.7,4429.56666666667,83.6065573770492
"CustomerOrder","avsDefaults","Postgres",100,1153,8647.76666666667,80.2083333333333
"CustomerOrder","random","Postgres",41.5555555555556,2009240.1,164914.066666667,31.875
"CustomerOrder","directedRandom","Postgres",100,836.766666666667,7944.4,83.2638888888889
"DellStore","avsDefaults","Postgres",100,1669,4844.93333333333,100
"DellStore","random","Postgres",93.4651600753296,1390135.73333333,141122.333333333,87.1153846153846
"DellStore","directedRandom","Postgres",100,322.433333333333,4186.7,100
"Employee","avsDefaults","Postgres",100,392,1340.56666666667,91.1111111111111
"Employee","random","Postgres",89.3333333333333,406523.433333333,31460.8666666667,85.037037037037
"Employee","directedRandom","Postgres",100,226.6,1045.3,93.3333333333333
"Examination","avsDefaults","Postgres",100,1239,4835.7,93.859649122807
"Examination","random","Postgres",82.8802588996764,916138.4,109076.566666667,85.906432748538
"Examination","directedRandom","Postgres",100,306.433333333333,4052.1,96.4912280701754
"Flights","avsDefaults","Postgres",100,18515.2333333333,5771.73333333333,87.5
"Flights","random","Postgres",58.7878787878788,1823186.56666667,154429.3,40.7638888888889
"Flights","directedRandom","Postgres",100,826.2,2483.56666666667,91.4583333333333
"FrenchTowns","avsDefaults","Postgres",100,1357.43333333333,3860.26666666667,82.0754716981132
"FrenchTowns","random","Postgres",34.6540880503145,1078626.23333333,92265.5333333333,21.2893081761006
"FrenchTowns","directedRandom","Postgres",100,784.233333333333,3022.7,89.0880503144654
"Inventory","avsDefaults","Postgres",100,100,801.833333333333,80.9523809523809
"Inventory","random","Postgres",95.8333333333333,75665.2,4399.7,74.6031746031746
"Inventory","directedRandom","Postgres",100,26.7333333333333,696.733333333333,90.4761904761905
"Iso3166","avsDefaults","Postgres",100,52,500.466666666667,63.6363636363636
"Iso3166","random","Postgres",85.1851851851852,140268.2,6200.8,63.3333333333333
"Iso3166","directedRandom","Postgres",100,15.8333333333333,476.766666666667,81.5151515151515
"IsoFlav_R2","avsDefaults","Postgres",100,1226.8,5479.16666666667,87.2146118721461
"IsoFlav_R2","random","Postgres",87.5706214689266,2315475.16666667,138097.166666667,56.8797564687976
"IsoFlav_R2","directedRandom","Postgres",100,282,5125.76666666667,99.7412480974125
"iTrust","avsDefaults","Postgres",100,61595.9333333333,55277.0333333333,90.883785664579
"iTrust","random","Postgres",91.5477823502515,15216429.5666667,4313254.63333333,85.3235908141962
"JWhoisServer","avsDefaults","Postgres",100,1822,4873.96666666667,73.6842105263158
"JWhoisServer","random","Postgres",86.4912280701754,2250755.13333333,241446.7,82.7017543859649
"JWhoisServer","directedRandom","Postgres",100,289.6,4031.36666666667,93.3157894736842
"MozillaExtensions","avsDefaults","Postgres",100,3558.86666666667,7339.4,81.8681318681319
"MozillaExtensions","random","Postgres",87.8318584070797,2909207.36666667,271521.5,59.9084249084249
"MozillaExtensions","directedRandom","Postgres",100,371.433333333333,6358.33333333333,98.7545787545788
"MozillaPermissions","avsDefaults","Postgres",100,238,1190.36666666667,93.5483870967742
