"realcasestudy","datagenerator","dbms","averageCoverage","averageEvaluations","averageTestGenTime","averageMutationScore"
"ArtistSimilarity","avsDefaults","SQLite",100,63,444.733333333333,92.3076923076923
"ArtistSimilarity","random","SQLite",61.7543859649123,394514.766666667,20952.5333333333,64.6153846153846
"ArtistSimilarity","directedRandom","SQLite",100,51.4333333333333,288.6,92.3076923076923
"ArtistTerm","avsDefaults","SQLite",100,135,541.533333333333,89.6551724137931
"ArtistTerm","random","SQLite",62.6356589147287,867117.966666667,41819.6666666667,62.5287356321839
"ArtistTerm","directedRandom","SQLite",100,108.166666666667,327.633333333333,89.6551724137931
"BankAccount","avsDefaults","SQLite",100,183,574.566666666667,85.7142857142857
"BankAccount","random","SQLite",87.4774774774775,619393.3,30638.5666666667,68.3333333333333
"BankAccount","directedRandom","SQLite",100,109.5,321.9,92.6984126984127
"BookTown","avsDefaults","SQLite",99.2619926199262,201168,5443.26666666667,82.5531914893617
"BookTown","random","SQLite",92.3985239852398,2235456.83333333,76815.6666666667,80.8936170212766
"BookTown","directedRandom","SQLite",99.2619926199262,200545.133333333,2002.26666666667,93.7021276595745
"BrowserCookies","avsDefaults","SQLite",100,17209.1666666667,3234.56666666667,88.5964912280702
"BrowserCookies","random","SQLite",59.1079812206573,810193.866666667,66312.2,55.7894736842105
"BrowserCookies","directedRandom","SQLite",100,293.4,419.266666666667,95.9356725146199
"Cloc","avsDefaults","SQLite",100,178,433.166666666667,100
"Cloc","random","SQLite",92.3333333333333,338790.3,12147.7,79.5555555555556
"Cloc","directedRandom","SQLite",100,61.7,302.666666666667,100
"CoffeeOrders","avsDefaults","SQLite",100,462,823.633333333333,92.0792079207921
"CoffeeOrders","random","SQLite",61.9259259259259,711775.266666667,41911.1,66.6336633663366
"CoffeeOrders","directedRandom","SQLite",100,207.133333333333,398.2,94.2904290429043
"CustomerOrder","avsDefaults","SQLite",100,1158,1789.33333333333,93.4426229508197
"CustomerOrder","random","SQLite",41.8518518518518,2201821.76666667,182239.166666667,59.9453551912568
"CustomerOrder","directedRandom","SQLite",100,1032.43333333333,545.4,95.0091074681239
"DellStore","avsDefaults","SQLite",100,1669,1137.06666666667,100
"DellStore","random","SQLite",93.4651600753296,1390135.73333333,138424.066666667,85.1709401709402
"DellStore","directedRandom","SQLite",100,322.433333333333,483.933333333333,100
"Employee","avsDefaults","SQLite",100,355,700.633333333333,82.2222222222222
"Employee","random","SQLite",90.3508771929825,401948.1,31109.2,86.4444444444444
"Employee","directedRandom","SQLite",100,178.033333333333,341.133333333333,95.1111111111111
"Examination","avsDefaults","SQLite",100,1131,1267.83333333333,86.231884057971
"Examination","random","SQLite",83.7383177570093,902944.033333333,106389.3,78.9371980676328
"Examination","directedRandom","SQLite",100,314.966666666667,488.266666666667,97.8985507246377
"Flights","avsDefaults","SQLite",100,18448.2333333333,3903.96666666667,90.4761904761905
"Flights","random","SQLite",58.1720430107527,1823064.86666667,165011.066666667,66.5476190476191
"Flights","directedRandom","SQLite",100,972.566666666667,453.6,100
"FrenchTowns","avsDefaults","SQLite",100,1357.43333333333,1938.03333333333,85.15625
"FrenchTowns","random","SQLite",34.6540880503145,1078626.23333333,90854.3,32.6041666666667
"FrenchTowns","directedRandom","SQLite",100,784.233333333333,429.433333333333,90.9635416666667
"Inventory","avsDefaults","SQLite",100,72,436.466666666667,76.1904761904762
"Inventory","random","SQLite",96.2962962962963,74967.2,4221.03333333333,79.3650793650794
"Inventory","directedRandom","SQLite",100,28.5,283.7,95.2380952380952
"Iso3166","avsDefaults","SQLite",100,48,402.666666666667,72.7272727272727
"Iso3166","random","SQLite",88.8888888888889,139324.2,6259.4,61.5151515151515
"Iso3166","directedRandom","SQLite",100,20,274.933333333333,90.6060606060606
"IsoFlav_R2","avsDefaults","SQLite",100,1226.8,932.666666666667,85.8447488584475
"IsoFlav_R2","random","SQLite",87.5706214689266,2315475.16666667,134229.133333333,49.3302891933029
"IsoFlav_R2","directedRandom","SQLite",100,282,432.366666666667,98.3713850837138
"iTrust","avsDefaults","SQLite",100,60325.2,14124.8333333333,82.6474622770919
"iTrust","random","SQLite",91.9841793012525,14944540.9333333,4207223.8,85.5441243712849
"iTrust","directedRandom","SQLite",100,99565.3333333333,4583.8,97.2107910379515
"JWhoisServer","avsDefaults","SQLite",100,1828,1550.13333333333,74.2105263157895
"JWhoisServer","random","SQLite",87.0042194092827,2250770.43333333,247988.1,85.859649122807
"JWhoisServer","directedRandom","SQLite",100,351.033333333333,550.333333333333,96.4210526315789
"MozillaExtensions","avsDefaults","SQLite",100,3186.86666666667,1554.6,73.0769230769231
"MozillaExtensions","random","SQLite",87.9912663755458,2898805.7,265686.366666667,59.7435897435897
"MozillaExtensions","directedRandom","SQLite",100,367.833333333333,545.466666666667,99.1483516483516
"MozillaPermissions","avsDefaults","SQLite",100,197,492.033333333333,74.1935483870968
"MozillaPermissions","random","SQLite",96.1616161616162,145548.566666667,7877.7,92.6881720430108
"MozillaPermissions","directedRandom","SQLite",100,51.7666666666667,307.933333333333,96.5591397849462
"NistDML181","avsDefaults","SQLite",100,218.133333333333,540.366666666667,100
"NistDML181","random","SQLite",65,608990.166666667,29519.9,73.2323232323232
"NistDML181","directedRandom","SQLite",100,74.9,317.2,100
"NistDML182","avsDefaults","SQLite",100,3545.4,2087.6,100
"NistDML182","random","SQLite",65.2631578947368,3235856.93333333,302583.533333333,89.9335232668566
"NistDML182","directedRandom","SQLite",100,330.966666666667,501.3,100
"NistDML183","avsDefaults","SQLite",100,130.6,475.2,100
"NistDML183","random","SQLite",100,2818,1444.46666666667,100
"NistDML183","directedRandom","SQLite",100,66.1,295.466666666667,100
"NistWeather","avsDefaults","SQLite",100,1031.76666666667,1216.93333333333,93.75
"NistWeather","random","SQLite",75.4761904761905,582104.933333333,55800.4666666667,72.7083333333333
"NistWeather","directedRandom","SQLite",100,3228.26666666667,481.233333333333,96.875
"NistXTS748","avsDefaults","SQLite",100,118,501.366666666667,84.2105263157895
"NistXTS748","random","SQLite",100,13759.7666666667,2063.6,89.2982456140351
"NistXTS748","directedRandom","SQLite",100,46.3666666666667,278,88.7719298245614
"NistXTS749","avsDefaults","SQLite",100,312.533333333333,693.533333333333,92.1052631578947
"NistXTS749","random","SQLite",86.2857142857143,396755.1,21800.4333333333,82.280701754386
"NistXTS749","directedRandom","SQLite",100,187.5,326.8,91.9298245614035
"Person","avsDefaults","SQLite",100,2112.83333333333,1563.26666666667,78.2608695652174
"Person","random","SQLite",93.6666666666667,177428.8,18116.4333333333,88.5507246376812
"Person","directedRandom","SQLite",100,231.366666666667,341.8,94.4927536231884
"Products","avsDefaults","SQLite",98.1132075471698,104835.433333333,5852.2,87.5621890547264
"Products","random","SQLite",78.9937106918239,735565.466666667,58445.0666666667,76.9154228855721
"Products","directedRandom","SQLite",98.1132075471698,101726.266666667,1310.63333333333,88.0597014925373
"RiskIt","avsDefaults","SQLite",100,3346,1987.63333333333,90.7780979827089
"RiskIt","random","SQLite",70.0933333333333,5565379.5,424338.6,76.4841498559078
"RiskIt","directedRandom","SQLite",100,1215.2,630.5,96.8011527377522
"StackOverflow","avsDefaults","SQLite",100,2384,1124.16666666667,100
"StackOverflow","random","SQLite",96.0428849902534,865263.233333333,55706.9,89.5090439276486
"StackOverflow","directedRandom","SQLite",100,273.433333333333,480.566666666667,100
"StudentResidence","avsDefaults","SQLite",100,193,628.366666666667,84.4444444444444
"StudentResidence","random","SQLite",73.7254901960784,283485.233333333,20250.6666666667,76.2222222222222
"StudentResidence","directedRandom","SQLite",100,1846.36666666667,383.566666666667,91.8518518518518
"UnixUsage","avsDefaults","SQLite",100,1448,1674.06666666667,95.8333333333333
"UnixUsage","random","SQLite",52.1315192743764,1108536.3,81510.6666666667,69.3923611111111
"UnixUsage","directedRandom","SQLite",100,521.9,524.2,96.875
"Usda","avsDefaults","SQLite",100,1912,1027.83333333333,100
"Usda","random","SQLite",90.0539811066127,2717616.63333333,140158.8,75.5555555555556
