"realcasestudy","HyperSQL_avsDefaults","HyperSQL_random","HyperSQL_directedRandom","Postgres_avsDefaults","Postgres_random","Postgres_directedRandom","SQLite_avsDefaults","SQLite_random","SQLite_directedRandom"
"ArtistSimilarity",100,59.4444444444444,100,100,59.4444444444444,100,100,61.7543859649123,100
"ArtistTerm",100,59.8333333333333,100,100,59.8333333333333,100,100,62.6356589147287,100
"BankAccount",100,85.1612903225806,100,100,85.1612903225806,100,100,87.4774774774775,100
"BookTown",99.2537313432836,92.3134328358209,99.2537313432836,99.2537313432836,92.3134328358209,99.2537313432836,99.2619926199262,92.3985239852398,99.2619926199262
"BrowserCookies",100,58.3333333333333,100,100,58.3333333333333,100,100,59.1079812206573,100
"Cloc",100,92.3333333333333,100,100,92.3333333333333,100,100,92.3333333333333,100
"CoffeeOrders",100,57.6623376623377,100,100,57.6623376623377,100,100,61.9259259259259,100
"CustomerOrder",100,41.5555555555556,100,100,41.5555555555556,100,100,41.8518518518518,100
"DellStore",100,93.4651600753296,100,100,93.4651600753296,100,100,93.4651600753296,100
"Employee",100,89.3333333333333,100,100,89.3333333333333,100,100,90.3508771929825,100
"Examination",100,82.8802588996764,100,100,82.8802588996764,100,100,83.7383177570093,100
"Flights",100,58.7878787878788,100,100,58.7878787878788,100,100,58.1720430107527,100
"FrenchTowns",100,34.6540880503145,100,100,34.6540880503145,100,100,34.6540880503145,100
"Inventory",100,95.8333333333333,100,100,95.8333333333333,100,100,96.2962962962963,100
"Iso3166",100,85.1851851851852,100,100,85.1851851851852,100,100,88.8888888888889,100
"IsoFlav_R2",100,87.5706214689266,100,100,87.5706214689266,100,100,87.5706214689266,100
"iTrust",100,91.5477823502515,100,100,91.5477823502515,,100,91.9841793012525,100
"JWhoisServer",100,86.4912280701754,100,100,86.4912280701754,100,100,87.0042194092827,100
"MozillaExtensions",100,87.8318584070797,100,100,87.8318584070797,100,100,87.9912663755458,100
"MozillaPermissions",100,96.0416666666667,100,100,96.0416666666667,100,100,96.1616161616162,100
"NistDML181",100,63.8738738738739,100,100,63.8738738738739,100,100,65,100
"NistDML182",100,62.5,100,100,62.5,100,100,65.2631578947368,100
"NistDML183",100,100,100,100,100,100,100,100,100
"NistWeather",100,57.2435897435897,100,100,57.2435897435897,100,100,75.4761904761905,100
"NistXTS748",100,100,100,100,100,100,100,100,100
"NistXTS749",100,85.5855855855856,100,100,85.5855855855856,100,100,86.2857142857143,100
"Person",100,93.3333333333333,100,100,93.3333333333333,100,100,93.6666666666667,100
"Products",97.8723404255319,69.8581560283688,97.8723404255319,97.8723404255319,69.8581560283688,97.8723404255319,98.1132075471698,78.9937106918239,98.1132075471698
"RiskIt",100,68.4761904761905,100,100,68.4761904761905,100,100,70.0933333333333,100
"StackOverflow",100,96.0428849902534,100,100,96.0428849902534,100,100,96.0428849902534,100
"StudentResidence",100,70.1111111111111,100,100,70.1111111111111,100,100,73.7254901960784,100
"UnixUsage",100,50.0907029478458,100,100,50.0907029478458,100,100,52.1315192743764,100
"Usda",100,90.0539811066127,100,100,90.0539811066127,100,100,90.0539811066127,100
"WordNet",100,90.1049868766404,100,100,90.1049868766404,100,100,89.3785310734463,100
