"realcasestudy","HyperSQL_avsDefaults","HyperSQL_random","HyperSQL_directedRandom","Postgres_avsDefaults","Postgres_random","Postgres_directedRandom","SQLite_avsDefaults","SQLite_random","SQLite_directedRandom"
"ArtistSimilarity",62,396532.2,53.4333333333333,62,396532.2,53.4333333333333,63,394514.766666667,51.4333333333333
"ArtistTerm",132,867116.6,105.1,132,867116.6,105.1,135,867117.966666667,108.166666666667
"BankAccount",217,604752.9,94.2333333333333,217,604752.9,94.2333333333333,183,619393.3,109.5
"BookTown",201165,2235485.43333333,200512.2,201165,2235485.43333333,200512.2,201168,2235456.83333333,200545.133333333
"BrowserCookies",17233.1666666667,810124.1,245.233333333333,17233.1666666667,810124.1,245.233333333333,17209.1666666667,810193.866666667,293.4
"Cloc",178,338790.3,61.7,178,338790.3,61.7,178,338790.3,61.7
"CoffeeOrders",534,749978.733333333,186.7,534,749978.733333333,186.7,462,711775.266666667,207.133333333333
"CustomerOrder",1153,2009240.1,836.766666666667,1153,2009240.1,836.766666666667,1158,2201821.76666667,1032.43333333333
"DellStore",1669,1390135.73333333,322.433333333333,1669,1390135.73333333,322.433333333333,1669,1390135.73333333,322.433333333333
"Employee",392,406523.433333333,226.6,392,406523.433333333,226.6,355,401948.1,178.033333333333
"Examination",1239,916138.4,306.433333333333,1239,916138.4,306.433333333333,1131,902944.033333333,314.966666666667
"Flights",18515.2333333333,1823186.56666667,826.2,18515.2333333333,1823186.56666667,826.2,18448.2333333333,1823064.86666667,972.566666666667
"FrenchTowns",1357.43333333333,1078626.23333333,784.233333333333,1357.43333333333,1078626.23333333,784.233333333333,1357.43333333333,1078626.23333333,784.233333333333
"Inventory",100,75665.2,26.7333333333333,100,75665.2,26.7333333333333,72,74967.2,28.5
"Iso3166",52,140268.2,15.8333333333333,52,140268.2,15.8333333333333,48,139324.2,20
"IsoFlav_R2",1226.8,2315475.16666667,282,1226.8,2315475.16666667,282,1226.8,2315475.16666667,282
"iTrust",61595.9333333333,15216429.5666667,101794.6,61595.9333333333,15216429.5666667,,60325.2,14944540.9333333,99565.3333333333
"JWhoisServer",1822,2250755.13333333,289.6,1822,2250755.13333333,289.6,1828,2250770.43333333,351.033333333333
"MozillaExtensions",3558.86666666667,2909207.36666667,371.433333333333,3558.86666666667,2909207.36666667,371.433333333333,3186.86666666667,2898805.7,367.833333333333
"MozillaPermissions",238,146696.233333333,52.1666666666667,238,146696.233333333,52.1666666666667,197,145548.566666667,51.7666666666667
"NistDML181",233.266666666667,609516.933333333,75.0333333333333,233.266666666667,609516.933333333,75.0333333333333,218.133333333333,608990.166666667,74.9
"NistDML182",3616.4,3333720.3,328.233333333333,3616.4,3333720.3,328.233333333333,3545.4,3235856.93333333,330.966666666667
"NistDML183",130.6,2818,66.1,130.6,2818,66.1,130.6,2818,66.1
"NistWeather",1062.43333333333,1368254.7,2234.3,1062.43333333333,1368254.7,2234.3,1031.76666666667,582104.933333333,3228.26666666667
"NistXTS748",118,13759.7666666667,46.3666666666667,118,13759.7666666667,46.3666666666667,118,13759.7666666667,46.3666666666667
"NistXTS749",329.533333333333,396953.733333333,156.866666666667,329.533333333333,396953.733333333,156.866666666667,312.533333333333,396755.1,187.5
"Person",2037.83333333333,177428.8,210,2037.83333333333,177428.8,210,2112.83333333333,177428.8,231.366666666667
"Products",105443.733333333,1044022.1,101609.4,105443.733333333,1044022.1,101609.4,104835.433333333,735565.466666667,101726.266666667
"RiskIt",3353,5458463.4,963.2,3353,5458463.4,963.2,3346,5565379.5,1215.2
"StackOverflow",2384,865263.233333333,273.433333333333,2384,865263.233333333,273.433333333333,2384,865263.233333333,273.433333333333
"StudentResidence",200,285336.4,1678.83333333333,200,285336.4,1678.83333333333,193,283485.233333333,1846.36666666667
"UnixUsage",1456,1101060.7,446.5,1456,1101060.7,446.5,1448,1108536.3,521.9
"Usda",1912,2717616.63333333,423.6,1912,2717616.63333333,423.6,1912,2717616.63333333,423.6
"WordNet",744,1340562.26666667,239.566666666667,744,1340562.26666667,239.566666666667,672,1341045.06666667,289.2
