"casestudy","Postgres_directedRandom","Postgres_avs","Postgres_avsDefaults","SQLite_directedRandom","SQLite_avs","SQLite_avsDefaults","HyperSQL_directedRandom","HyperSQL_avs","HyperSQL_avsDefaults"
"ArtistSimilarity",1019.86666666667,1406.4,1079.66666666667,288.6,717.5,444.733333333333,492.4,961.666666666667,598.4
"ArtistTerm",2603.36666666667,3103.86666666667,2679.6,327.633333333333,913.9,541.533333333333,555.333333333333,1152.7,718.833333333333
"BankAccount",1327.03333333333,1619.63333333333,1588.53333333333,321.9,624.833333333333,574.566666666667,533.666666666667,834.933333333333,756.1
"BookTown",8780.03333333333,10940.0333333333,11587.7666666667,2002.26666666667,4908.5,5443.26666666667,2345.7,4634.5,5491.03333333333
"BrowserCookies",3215.2,17499.4666666667,5849.76666666667,419.266666666667,15703,3234.56666666667,657.566666666667,15044.4666666667,3366.1
"Cloc",1149.23333333333,1275.73333333333,1192.6,302.666666666667,408.6,433.166666666667,514.433333333333,631.4,599.4
"CoffeeOrders",4429.56666666667,4898.43333333333,4743.86666666667,398.2,849.133333333333,823.633333333333,653.566666666667,1105.66666666667,1078.6
"CustomerOrder",7944.4,10622.1333333333,8647.76666666667,545.4,3217.7,1789.33333333333,863.633333333333,3364.06666666667,1870.23333333333
"DellStore",4186.7,4955.13333333333,4844.93333333333,483.933333333333,1276.7,1137.06666666667,829.633333333333,1632.1,1562.4
"Employee",1045.3,1271.66666666667,1340.56666666667,341.133333333333,592.466666666667,700.633333333333,552.8,815.8,898.733333333333
"Examination",4052.1,4938.53333333333,4835.7,488.266666666667,1448.5,1267.83333333333,784.3,1737.63333333333,1569.13333333333
"Flights",2483.56666666667,24840.5666666667,5771.73333333333,453.6,24019.3,3903.96666666667,690.033333333333,23295.5333333333,3989.13333333333
"FrenchTowns",3022.7,4171.36666666667,3860.26666666667,429.433333333333,1628.6,1938.03333333333,682.966666666667,1941.1,1699.46666666667
"Inventory",696.733333333333,751.5,801.833333333333,283.7,353.9,436.466666666667,481.633333333333,555.633333333333,601.666666666667
"Iso3166",476.766666666667,544.433333333333,500.466666666667,274.933333333333,353,402.666666666667,472.4,547.7,546.4
"IsoFlav_R2",5125.76666666667,5685.03333333333,5479.16666666667,432.366666666667,986.133333333333,932.666666666667,754.833333333333,1311.23333333333,1265.56666666667
"iTrust",46962.0625,85790.25,55277.0333333333,4583.8,47114.7333333333,14124.8333333333,4910.93333333333,47908.5,15985.8333333333
"JWhoisServer",4031.36666666667,5154.13333333333,4873.96666666667,550.333333333333,1786.9,1550.13333333333,890.2,2085.73333333333,1876.93333333333
"MozillaExtensions",6358.33333333333,7616.2,7339.4,545.466666666667,1647.03333333333,1554.6,863.266666666667,2009.26666666667,1916.83333333333
"MozillaPermissions",1077.1,1161.96666666667,1190.36666666667,307.933333333333,404.933333333333,492.033333333333,513.366666666667,608.733333333333,663.4
"NistDML181",1553.9,1800.93333333333,1706.73333333333,317.2,617.4,540.366666666667,528.266666666667,834.9,706.233333333333
"NistDML182",5736.96666666667,7429.5,6811.16666666667,501.3,2097.4,2087.6,761.833333333333,2363.36666666667,1942
"NistDML183",1321.5,1438,1441.66666666667,295.466666666667,359.766666666667,475.2,510.4,577.033333333333,638.066666666667
"NistWeather",1934.3,2642.73333333333,2517.5,481.233333333333,1138.2,1216.93333333333,709.9,1421.53333333333,1312.6
"NistXTS748",613.9,659.166666666667,706.9,278,331.333333333333,501.366666666667,475.4,534.066666666667,613.9
"NistXTS749",1535.2,1807.8,1772.5,326.8,566.2,693.533333333333,545.966666666667,775.866666666667,823.5
"Person",677.766666666667,1170.36666666667,1728.36666666667,341.8,866.4,1563.26666666667,546.133333333333,1050.8,1598.96666666667
"Products",3135.53333333333,6610.56666666667,7279.2,1310.63333333333,5029.06666666667,5852.2,1519.43333333333,5004.2,5796.36666666667
"RiskIt",11696.1666666667,14718.1333333333,12527.7333333333,630.5,3475.66666666667,1987.63333333333,996.633333333333,3619.73333333333,2312.86666666667
"StackOverflow",4662.16666666667,4828.1,5010.03333333333,480.566666666667,841.866666666667,1124.16666666667,816.4,1169.1,1474.7
"StudentResidence",1429.83333333333,1720.26666666667,1539.83333333333,383.566666666667,750.566666666667,628.366666666667,592.766666666667,965.466666666667,782.566666666667
"UnixUsage",11108.9333333333,13308.4333333333,11523.3333333333,524.2,2988.5,1674.06666666667,866.566666666667,3479.7,1925.2
"Usda",6231,6397.2,6474.43333333333,491,1007.16666666667,1027.83333333333,864.666666666667,1400.56666666667,1526.26666666667
"WordNet",3635.83333333333,3918.16666666667,3985.03333333333,398.766666666667,665.033333333333,835.966666666667,679.233333333333,967.866666666667,1125.06666666667
