"realcasestudy","HyperSQL_avsDefaults","HyperSQL_random","HyperSQL_directedRandom","Postgres_avsDefaults","Postgres_random","Postgres_directedRandom","SQLite_avsDefaults","SQLite_random","SQLite_directedRandom"
"ArtistSimilarity",598.4,21099.2333333333,492.4,1079.66666666667,21437.6333333333,1019.86666666667,444.733333333333,20952.5333333333,288.6
"ArtistTerm",718.833333333333,42085.5,555.333333333333,2679.6,43107.8,2603.36666666667,541.533333333333,41819.6666666667,327.633333333333
"BankAccount",756.1,29222.7333333333,533.666666666667,1588.53333333333,29858.4666666667,1327.03333333333,574.566666666667,30638.5666666667,321.9
"BookTown",5491.03333333333,72327.5,2345.7,11587.7666666667,78040.3666666667,8780.03333333333,5443.26666666667,76815.6666666667,2002.26666666667
"BrowserCookies",3366.1,63561.5333333333,657.566666666667,5849.76666666667,64842.5333333333,3215.2,3234.56666666667,66312.2,419.266666666667
"Cloc",599.4,12329.8,514.433333333333,1192.6,12911.4666666667,1149.23333333333,433.166666666667,12147.7,302.666666666667
"CoffeeOrders",1078.6,42064.8666666667,653.566666666667,4743.86666666667,43608.9333333333,4429.56666666667,823.633333333333,41911.1,398.2
"CustomerOrder",1870.23333333333,162038.1,863.633333333333,8647.76666666667,164914.066666667,7944.4,1789.33333333333,182239.166666667,545.4
"DellStore",1562.4,139027.2,829.633333333333,4844.93333333333,141122.333333333,4186.7,1137.06666666667,138424.066666667,483.933333333333
"Employee",898.733333333333,31003.9333333333,552.8,1340.56666666667,31460.8666666667,1045.3,700.633333333333,31109.2,341.133333333333
"Examination",1569.13333333333,106679.466666667,784.3,4835.7,109076.566666667,4052.1,1267.83333333333,106389.3,488.266666666667
"Flights",3989.13333333333,153097.466666667,690.033333333333,5771.73333333333,154429.3,2483.56666666667,3903.96666666667,165011.066666667,453.6
"FrenchTowns",1699.46666666667,90967.1666666667,682.966666666667,3860.26666666667,92265.5333333333,3022.7,1938.03333333333,90854.3,429.433333333333
"Inventory",601.666666666667,4195.73333333333,481.633333333333,801.833333333333,4399.7,696.733333333333,436.466666666667,4221.03333333333,283.7
"Iso3166",546.4,6196.36666666667,472.4,500.466666666667,6200.8,476.766666666667,402.666666666667,6259.4,274.933333333333
"IsoFlav_R2",1265.56666666667,134855.633333333,754.833333333333,5479.16666666667,138097.166666667,5125.76666666667,932.666666666667,134229.133333333,432.366666666667
"iTrust",15985.8333333333,4278533.86666667,4910.93333333333,55277.0333333333,4313254.63333333,,14124.8333333333,4207223.8,4583.8
"JWhoisServer",1876.93333333333,237188,890.2,4873.96666666667,241446.7,4031.36666666667,1550.13333333333,247988.1,550.333333333333
"MozillaExtensions",1916.83333333333,265355.466666667,863.266666666667,7339.4,271521.5,6358.33333333333,1554.6,265686.366666667,545.466666666667
"MozillaPermissions",663.4,7756.5,513.366666666667,1190.36666666667,8285.43333333333,1077.1,492.033333333333,7877.7,307.933333333333
"NistDML181",706.233333333333,28922.9333333333,528.266666666667,1706.73333333333,29458.2,1553.9,540.366666666667,29519.9,317.2
"NistDML182",1942,309544.133333333,761.833333333333,6811.16666666667,314332.733333333,5736.96666666667,2087.6,302583.533333333,501.3
"NistDML183",638.066666666667,1422.8,510.4,1441.66666666667,2188.46666666667,1321.5,475.2,1444.46666666667,295.466666666667
"NistWeather",1312.6,100256.133333333,709.9,2517.5,100643.1,1934.3,1216.93333333333,55800.4666666667,481.233333333333
"NistXTS748",613.9,2072.63333333333,475.4,706.9,2136.1,613.9,501.366666666667,2063.6,278
"NistXTS749",823.5,20335.5333333333,545.966666666667,1772.5,21216.1666666667,1535.2,693.533333333333,21800.4333333333,326.8
"Person",1598.96666666667,17619.5333333333,546.133333333333,1728.36666666667,17740.1333333333,677.766666666667,1563.26666666667,18116.4333333333,341.8
"Products",5796.36666666667,71146.6333333333,1519.43333333333,7279.2,72014.1,3135.53333333333,5852.2,58445.0666666667,1310.63333333333
"RiskIt",2312.86666666667,397791.866666667,996.633333333333,12527.7333333333,406104.033333333,11696.1666666667,1987.63333333333,424338.6,630.5
"StackOverflow",1474.7,55871.3333333333,816.4,5010.03333333333,59467.2,4662.16666666667,1124.16666666667,55706.9,480.566666666667
"StudentResidence",782.566666666667,20247.4666666667,592.766666666667,1539.83333333333,20691.9,1429.83333333333,628.366666666667,20250.6666666667,383.566666666667
"UnixUsage",1925.2,77542.8666666667,866.566666666667,11523.3333333333,80304.1666666667,11108.9333333333,1674.06666666667,81510.6666666667,524.2
"Usda",1526.26666666667,140498.833333333,864.666666666667,6474.43333333333,144893.966666667,6231,1027.83333333333,140158.8,491
"WordNet",1125.06666666667,41127.3333333333,679.233333333333,3985.03333333333,43735.3666666667,3635.83333333333,835.966666666667,42645,398.766666666667
