"statistic","p.value","method","alternative","dbms","vs"
0,1.69112338921448e-17,"Wilcoxon rank sum test","two.sided","Postgres","AVM vs Directed Random Test Generation Time"
0,1.69112338921448e-17,"Wilcoxon rank sum test","two.sided","Postgres","Random vs Directed Random Test Generation Time"
0,1.17171039488863e-11,"Wilcoxon rank sum test with continuity correction","two.sided","Postgres","AVM vs Directed Random Mutation Score"
0,1.69112338921448e-17,"Wilcoxon rank sum test","two.sided","Postgres","Random vs Directed Random Mutation Score"
883,2.04964154772795e-14,"Wilcoxon rank sum test","two.sided","Postgres","AVM vs Directed Random Number Of evaluations"
900,1.69112338921448e-17,"Wilcoxon rank sum test","two.sided","Postgres","Random vs Directed Random Number Of evaluations"
0,1.69112338921448e-17,"Wilcoxon rank sum test","two.sided","SQLite","AVM vs Directed Random Test Generation Time"
0,1.69112338921448e-17,"Wilcoxon rank sum test","two.sided","SQLite","Random vs Directed Random Test Generation Time"
0,1.13635101992794e-11,"Wilcoxon rank sum test with continuity correction","two.sided","SQLite","AVM vs Directed Random Mutation Score"
0,1.69112338921448e-17,"Wilcoxon rank sum test","two.sided","SQLite","Random vs Directed Random Mutation Score"
787,9.16112194085597e-08,"Wilcoxon rank sum test","two.sided","SQLite","AVM vs Directed Random Number Of evaluations"
900,1.69112338921448e-17,"Wilcoxon rank sum test","two.sided","SQLite","Random vs Directed Random Number Of evaluations"
0,1.69112338921448e-17,"Wilcoxon rank sum test","two.sided","HyperSQL","AVM vs Directed Random Test Generation Time"
0,1.69112338921448e-17,"Wilcoxon rank sum test","two.sided","HyperSQL","Random vs Directed Random Test Generation Time"
0,1.17171039488863e-11,"Wilcoxon rank sum test with continuity correction","two.sided","HyperSQL","AVM vs Directed Random Mutation Score"
0,1.69112338921448e-17,"Wilcoxon rank sum test","two.sided","HyperSQL","Random vs Directed Random Mutation Score"
830,4.75686627861161e-10,"Wilcoxon rank sum test","two.sided","HyperSQL","AVM vs Directed Random Number Of evaluations"
900,1.69112338921448e-17,"Wilcoxon rank sum test","two.sided","HyperSQL","Random vs Directed Random Number Of evaluations"
