"dbms","casestudy","criterion","datagenerator","randomseed","testsuitefile","coverage","evaluations","tests","mutationpipeline","scorenumerator","scoredenominator","technique","transactions","testgenerationtime","mutantgenerationtime","originalresultstime","mutationanalysistime","timetaken"
"Postgres","ArtistTerm","ClauseAICC+AUCC+ANCC","directedRandom",1,NA,100,133,40,"AllOperatorsNoFKANormalisedWithClassifiers",20,26,"mutantTiming","true",2525,125,2281,47328,52274
"Postgres","BookTown","ClauseAICC+AUCC+ANCC","directedRandom",1,NA,99.2537313432836,200559,266,"AllOperatorsNoFKANormalisedWithClassifiers",210,235,"mutantTiming","true",8410,4184,8249,1655434,1676291
"Postgres","BrowserCookies","ClauseAICC+AUCC+ANCC","directedRandom",1,NA,100,249,72,"AllOperatorsNoFKANormalisedWithClassifiers",79,85,"mutantTiming","true",3166,362,2762,203012,209316
"Postgres","Cloc","ClauseAICC+AUCC+ANCC","directedRandom",1,NA,100,64,40,"AllOperatorsNoFKANormalisedWithClassifiers",30,30,"mutantTiming","true",1132,113,1086,30392,32736
"Postgres","DellStore","ClauseAICC+AUCC+ANCC","directedRandom",1,NA,100,327,177,"AllOperatorsNoFKANormalisedWithClassifiers",156,156,"mutantTiming","true",3987,1452,3754,597375,606584
"Postgres","Flights","ClauseAICC+AUCC+ANCC","directedRandom",1,NA,100,823,66,"AllOperatorsNoFKANormalisedWithClassifiers",44,48,"mutantTiming","true",2378,225,2073,90832,95521
"Postgres","Inventory","ClauseAICC+AUCC+ANCC","directedRandom",1,NA,100,28,16,"AllOperatorsNoFKANormalisedWithClassifiers",19,21,"mutantTiming","true",686,88,435,9561,10783
"Postgres","JWhoisServer","ClauseAICC+AUCC+ANCC","directedRandom",1,NA,100,289,152,"AllOperatorsNoFKANormalisedWithClassifiers",178,190,"mutantTiming","true",3960,2119,3563,686685,696341
"Postgres","MozillaExtensions","ClauseAICC+AUCC+ANCC","directedRandom",1,NA,100,368,226,"AllOperatorsNoFKANormalisedWithClassifiers",360,364,"mutantTiming","true",6431,5455,6002,2210299,2228204
"Postgres","NistXTS749","ClauseAICC+AUCC+ANCC","directedRandom",1,NA,100,159,37,"AllOperatorsNoFKANormalisedWithClassifiers",21,26,"mutantTiming","true",1543,123,1367,31098,34143
"Postgres","Products","ClauseAICC+AUCC+ANCC","directedRandom",1,NA,97.8723404255319,101094,46,"AllOperatorsNoFKANormalisedWithClassifiers",41,53,"mutantTiming","true",3114,237,1836,75602,80803
"Postgres","RiskIt","ClauseAICC+AUCC+ANCC","directedRandom",1,NA,100,985,245,"AllOperatorsNoFKANormalisedWithClassifiers",187,209,"mutantTiming","true",12126,4644,11315,1926339,1954441
"Postgres","StudentResidence","ClauseAICC+AUCC+ANCC","directedRandom",1,NA,100,1352,30,"AllOperatorsNoFKANormalisedWithClassifiers",35,40,"mutantTiming","true",1567,167,1031,31266,34044
"Postgres","UnixUsage","ClauseAICC+AUCC+ANCC","directedRandom",1,NA,100,464,147,"AllOperatorsNoFKANormalisedWithClassifiers",86,100,"mutantTiming","true",10926,899,10277,705484,727601
"Postgres","ArtistTerm","ClauseAICC+AUCC+ANCC","directedRandom",2,NA,100,122,40,"AllOperatorsNoFKANormalisedWithClassifiers",20,26,"mutantTiming","true",2630,108,2324,48532,53605
"Postgres","BookTown","ClauseAICC+AUCC+ANCC","directedRandom",2,NA,99.2537313432836,200503,266,"AllOperatorsNoFKANormalisedWithClassifiers",210,235,"mutantTiming","true",8764,4172,7177,1661082,1681209
"Postgres","BrowserCookies","ClauseAICC+AUCC+ANCC","directedRandom",2,NA,100,273,72,"AllOperatorsNoFKANormalisedWithClassifiers",79,85,"mutantTiming","true",3393,348,2835,201382,207971
"Postgres","Cloc","ClauseAICC+AUCC+ANCC","directedRandom",2,NA,100,66,40,"AllOperatorsNoFKANormalisedWithClassifiers",30,30,"mutantTiming","true",1138,99,882,28375,30507
"Postgres","DellStore","ClauseAICC+AUCC+ANCC","directedRandom",2,NA,100,311,177,"AllOperatorsNoFKANormalisedWithClassifiers",156,156,"mutantTiming","true",4244,1433,3747,590745,600185
"Postgres","Flights","ClauseAICC+AUCC+ANCC","directedRandom",2,NA,100,727,66,"AllOperatorsNoFKANormalisedWithClassifiers",44,48,"mutantTiming","true",2356,228,2079,89388,94063
"Postgres","Inventory","ClauseAICC+AUCC+ANCC","directedRandom",2,NA,100,27,16,"AllOperatorsNoFKANormalisedWithClassifiers",19,21,"mutantTiming","true",672,89,559,10079,11411
"Postgres","JWhoisServer","ClauseAICC+AUCC+ANCC","directedRandom",2,NA,100,286,152,"AllOperatorsNoFKANormalisedWithClassifiers",178,190,"mutantTiming","true",3873,2174,3468,691245,700773
"Postgres","MozillaExtensions","ClauseAICC+AUCC+ANCC","directedRandom",2,NA,100,385,226,"AllOperatorsNoFKANormalisedWithClassifiers",360,364,"mutantTiming","true",6558,5512,5828,2204331,2222244
"Postgres","NistXTS749","ClauseAICC+AUCC+ANCC","directedRandom",2,NA,100,147,37,"AllOperatorsNoFKANormalisedWithClassifiers",21,26,"mutantTiming","true",1610,131,1300,30307,33361
"Postgres","Products","ClauseAICC+AUCC+ANCC","directedRandom",2,NA,97.8723404255319,101665,46,"AllOperatorsNoFKANormalisedWithClassifiers",41,53,"mutantTiming","true",2944,236,2017,77026,82237
"Postgres","RiskIt","ClauseAICC+AUCC+ANCC","directedRandom",2,NA,100,937,245,"AllOperatorsNoFKANormalisedWithClassifiers",187,209,"mutantTiming","true",12177,4200,11066,1925671,1953128
"Postgres","StudentResidence","ClauseAICC+AUCC+ANCC","directedRandom",2,NA,100,1254,30,"AllOperatorsNoFKANormalisedWithClassifiers",35,40,"mutantTiming","true",1350,154,986,31682,34185
"Postgres","UnixUsage","ClauseAICC+AUCC+ANCC","directedRandom",2,NA,100,429,147,"AllOperatorsNoFKANormalisedWithClassifiers",86,100,"mutantTiming","true",10665,889,10111,713687,735367
"Postgres","ArtistTerm","ClauseAICC+AUCC+ANCC","directedRandom",3,NA,100,97,40,"AllOperatorsNoFKANormalisedWithClassifiers",20,26,"mutantTiming","true",2422,118,2281,49037,53871
"Postgres","BookTown","ClauseAICC+AUCC+ANCC","directedRandom",3,NA,99.2537313432836,200503,266,"AllOperatorsNoFKANormalisedWithClassifiers",208,235,"mutantTiming","true",8686,4153,8129,1660114,1681099
"Postgres","BrowserCookies","ClauseAICC+AUCC+ANCC","directedRandom",3,NA,100,269,72,"AllOperatorsNoFKANormalisedWithClassifiers",79,85,"mutantTiming","true",3085,398,2752,202047,208299
